ingrediens,status,oekologisk,horkram_varenr,klima_id,klima_kg,horkram_kg,noter
Spinat,5,Ja,16991002,Ra00161,0.4825010340927507,0.43,
kål,5,Ja,15284730,Ra00157,0.2869521745458752,0.43,
Rødkål - Rå,5,Nej,17250634,Ra00159,0.2869521745458752,0.43,
Mayonaise,5,Ja,60105401,Ra00202,3.130256318370178,2.31,
Sennep,5,Nej,13985684,Ra00303,1.94824941497693,1.2,
Rødløg - Rå,5,Ja,16766976,Ra00485,0.8123001935051006,0.56,
Eddike,4,Nej,14533495,Ra00150,1.57804301180022,,
Sukker,5,Ja,18259612,Ra00318,2.658833231997946,0.73,
Pebberkorn - Hele,2,,,Ra00302,5.187959949516697,,
Gulerødder - Rå,5,Ja,15158727,Ra00257,0.2721072485057615,0.33,
Ingefær,5,Ja,60073707,Ra00261,1.274341022194906,0.74,
Salt - alm,2,,,Ra00151,0.4400583854586696,,
appelsiner,2,,,Ra00330,0.564924499107151,,
Smør,5,ja,34221624,Ra00037,3.295256300047364,7,
Brun Farin,2,,,Ra00319,2.44873174149439,,
Æg,2,,,Ra00108,0.9742809597294194,,
Chokolade Knapper,2,,,Ra00324,7.863882752147433,,
Rugbrødsrester,2,,,Ra00031,1.017739810262304,,
Rugmel,2,,,Ra00102,1.174239643138726,,
Kakao Pulver,2,,,Ra00062,17.2976775859255,,
Kidny bønner,2,,,Ra00422,1.165517025427014,,
Semidried Tomater,4,Nej,34361825,Ra00447,2.719357591199155,,
Pebberfrugt,2,,,Ra00001,1.071198875780834,,
Persille,2,,,Ra00134,0.453971753798434,,
Majs,5,Ja,34918364,Ra00299,0.6876209079125586,0.52,
Mayo - Vegansk,5,Nej,17337281,Ra00473,2.667325053588019,2.31,
Ingrid ærter udblødt,5,Ja,18766745,Ra00173,1.267688447652113,2,
Brød Rug,5,Ja,60097769,Ra00031,1.017739810262304,1.03,
Kartofler,5,Ja,16252707,Ra00256,0.4104409977604407,0.36,
Purløg,5,Ja,18505351,Ra00137,0.4335925491846771,0.74,
Fiske-Frikadeller,4,,60106075,Ra00089,3.349631915367435,4.99,
Frikadeller,5,Ja,60105419,Ra00391,3.612954050728034,4.99,
Mozzarella,5,Ja,15465016,Ra00080,5.411482481749246,8.2,
Pesto - Grøn,4,Nej,18495942,Ra00381,4.240549107808802,,
Cherry Tomater,5,Ja,15561664,Ra00002,0.4847018275516332,0.76,
Æbler,5,Ja,15582034,Ra00235,0.6051710247042092,0.45,
Svinekam,5,Ja,34828014,Ra00240,5.533166501537643,4.88,
Løg - Rå,5,Ja,16941168,Ra00266,0.2746050915240073,0.56,
Hvidløg - i tern,5,Ja,15254627,Ra00136,1.24755938563333,0.56,
Rosiner,2,,,Ra00125,3.576875833283712,,
Humus,2,,,Ra00392,2.259739407816971,,
Ost - Brie,2,,,Ra00296,1.602680939363519,,
Cornichoner,2,,,Ra00442,3.070727683300277,,
Valnødder,5,Ja,60081744,Ra00143,5.691773964753395,2,
Lufttørret Skinke,3,Nej,34152584,,,4.88,
Ost - skiver,5,Ja,14999680,Ra00078,5.411482481749246,10.27,
Æblemost,2,,,Ra00184,1.679259768131995,,
Kaffe bønner,2,,,Ra00060,6.901529254115221,,
Mælk - Alm,2,,,Ra00341,0.4999386103942195,,Alm rugbrød fra klimadatabasen
Små Sukker poser,5,Ja,18259612,Ra00318,2.658833231997946,0.73,
The - breve,2,,,Ra00058,16.71199186056156,,
"Øl - letøl <2,7%",2,,,Ra00017,0.6754212665990396,,
Øl - Alkoholfri,2,,,Ra00018,0.6754212665990396,,Kopieret fra rødløg -RÅ
Cookie,5,Ja,60115591,Ra00023,2.819541342257868,2.61,
kikærter - udblødt,2,,,Ra00175,3.599754952925354,,
Oliven Olie,2,,,Ra00349,5.885117720609614,,
Tahini,2,,,Ra00446,7.701450304638412,,
Spidskål,5,Ja,14030628,Ra00160,0.2869521745458752,0.43,
Parmasan,2,,,Ra00079,5.411482481749246,,
bønnemix,3,,,Ra00422,1.165517025427014,0.52,
Agurk,2,,,Ra00007,0.395469120184517,,
Spicy Chili Sauce,4,Nej,18519297,Ra00484,2.101955298528652,,
honning,5,Ja,60105401,Ra00146,0.8112876435881213,2.31,
pebber - stødt,2,,,Ra00302,5.187959949516697,,
balsamico eddike,4,Ja,16291638,Ra00066,3.428717469969474,,
Feta ost,5,Nej,60093285,Ra00270,1.602680939363519,10.27,
Olie (solsikkekerne),4,Ja,14839146,Ra00349,5.885117720609614,,
banan,2,,,Ra00327,0.8470623672242172,,
Pærer,2,,,Ra00236,0.458852523117743,,
Morgen Boller,2,,,Ra00030,1.160543064980184,,
Marmelade,2,,,Ra00126,2.213044643282724,,
Øl - Pilsner,2,,,Ra00017,0.6754212665990396,,
Aubergine,2,,,Ra00004,0.9856924280596531,,
blegselleri,5,Ja,34258620,Ra00153,0.3813037375924266,0.45,
Creamfraice,2,,,Ra00076,1.569584465987842,,
dild,2,,,Ra00135,0.453971753798434,,
ærter,2,,,Ra00173,1.267688447652113,,
avokado,2,,,Ra00317,1.217256014849649,,
Kikærter,2,,,Ra00175,3.599754952925354,,
Kylling - rå,2,,,Ra00055,5.202315725559832,,
Øl - Fustage-Pilsner,2,,,Ra00017,0.6754212665990396,,
Øl - Fustage-Classic (vienna),2,,,Ra00017,0.6754212665990396,,
Øl - Special,2,,,Ra00019,0.6754212665990396,,
Hvidvin - Husets,2,,,Ra00375,1.648742258090044,,
Rødvin - Husets,2,,,Ra00377,1.648742258090044,,
peanuts,5,Ja,17458856,Ra00281,3.472538313727079,2,
Cava,2,,,Ra00378,1.648742258090044,,
Bagepapir,2,Nej,34978511,,,,
Chilli Pulver,2,Nej,18519297,,,,
Fatdane - sodavand,3,Ja,17123525,,,0.46,
Gulerødder - Sylt,5,Ja,15158727,Ra00257,0.2721072485057615,0.33,
Kylling - BBQ,3,Ja,60116772,,,5.202315725559832,estimeret til ca det samme som rå kylling
Løvstikke - Frisk,3,Ja,15802279,,,0.74,
Løvstikke pakke,3,Ja,15802279,,,0.74,
Pickles/Relish,3,Nej,34105566/34105597,,,0.74,Fra en anden varer på hørkram
Postevand,3,Nej,15490827,,,0.23,
Røget Paprika,2,Nej,18847185,,,,
Salt - Flager,4,Nej,34700235,Ra00151,0.4400583854586696,,
Servietter,3,N/A,14515163,,,1.3,"Estimeret vha. ChatGPT, nettovægt 13,14kg for 10800stk =0,001217kg/stk"
Rødløg - Sylt,5,Ja,16766976,Ra00485,0.8123001935051006,0.56,
Spidskommen,2,Nej,13889074,,,,
Stjerne Anis,2,Nej,16474857,,,,
Tranebærsaft,3,Ja,16148130,,,0.32,
Trøffel olie,3,Nej,17359337,,,2.31,
Cayenne peber,0,,,,,,
Citronsaft,3,ja,15890641,,,1.3,
Falaffel,1,,,,1.3390301956739448,,Laves selv
Vegansk youghurt,2,,60162107,,1.45,,"er det den der hedder Plangurt, mild & creamy, naturel"
Hvidløgspulver,2,ja,,,5,,Estimeret ved hjælp af ChatGPT og info om co2 fra Hvidløg
Hvidløg,3,,Ra00136,,1.25,0.56,
Vand,2,,Ra00068,,0,,
Pepper,0,,,,,,
Spicy Tuna,1,,,,,1.3238688292475604,Laves selv
Frikadelle med bønner,3,ja,60105419,,,4.99,
Æble Chutney,1,,,,,1.2868036919113963,
Gris,1,,,,,5.433301636516487,
"Sriracha hot chilisauce,",3,,16703872,Ra00484,2.1,,
Chili mayo,1,,,,,2.775577913685363,
Balsamico,0,,,,,,
Tempty,1,,,,1.39,,De har selv regnet det ud med data fra klimadatabasen
Bønnen - Salat - produktion,1,,,,,0.8913529998991387,
Kartoflen - Salat - produktion,1,,,,,0.9291849990175596,
BurgerLommer - alm,2,,15322982,,,1.1,"Estimeret vha. ChatGPT, nettovægt 1,5kg for 1000stk =150g/stk"
