produkt,co2e_per_sandwich
Kartoflen,0.4402247115562424
Falaflen,0.7227652908987067
"""Tunen""",0.4145436654826686
Kyllingen,0.7024917187323768
Frikadellen,0.5865491515148366
Ægget,0.46218193772702665
Grisen på Rug,0.876985904239663
Italieneren,0.7126473849492301
Trøflen,0.5454095242453753
Fisken,0.48155823458596714
Skinken,0.7369343918079678
Skinken slider,0.3684671959039839
Ægget slider,0.23109096886351332
"""Tunen"" Spicy  slider",0.2072718327413343
Italieneren slider,0.35632369247461504
Kartoflen slider,0.2201123557781212
Trøflen - slider,0.2727047621226876
Grisen på Rug slider,0.4384929521198315
Fisken Slider,0.24077911729298357
Falaflen - slider,0.36138264544935333
Frikadellen - slider,0.2932745757574183
Kyllingen - slider,0.3512458593661884
"Fisken,frikadellen,kartoflern - slider",0.7541660488285231
"Ægget,italienrern,kartoflen - slider",0.8075270171162495
Bønnen - Salat,0.2972662254663628
Kartoflen - Salat,0.29027739369308564
Falaffel- stegning,7.357703119189191
Spicy Tuna produktion,6.23542218575601
Æble Chutney Produktion,2.583901813358084
Langtids stegt gris,5.541967669246817
Chili mayo Produktion,4.232756318370178
Bønnen - Salat - produktion,2.9726622546636277
Kartoflen - Salat - produktion,0.8708321810792569
